Open;High;Low;Close
430.21;441.99;429;437.66
408.35;435.09;406.38;433.75
424.47;424.48;409.68;414.16
423.17;432.38;415;418.66
452.02;452.94;417.55;419.95
445.49;452.46;440.08;444.25
460;463.24;449.4;450.26
468.73;474.29;459.58;464.41
476.77;482.18;461.42;465.25
469.75;471.01;462.33;463.29
472.49;476.45;470.33;473.78
473.73;474.83;464.84;468.58
483.46;483.46;470.59;474.16
486.11;497;481.5;483.01
491.5;494.88;489.48;490.59
482.92;489.9;479.27;486.53
494.72;496.69;482.57;485
490.43;498.28;486.63;490.5
509.84;510;495.51;498.3
506.99;510.66;505.5;510.15
497.7;507.61;496.29;505.49
501.6;503.54;493.88;500.03
502;506.13;498;502.61
492.47;508.88;491.78;500.84
480.15;495.75;475.69;495.01
482;484;476.41;479.12
478.37;489.77;472.51;486.34
467.59;480.08;466.33;479.85
468.12;473.01;461.9;463
472.51;473.22;462.5;467.86
474.56;480.89;471.44;473.75
485.5;486.02;472.81;482.7
479.3;487.26;478;483.11
492.09;492.09;475.13;477.12
486.49;493.13;481.5;491.98
496.7;496.87;475.62;475.62
481.61;497.23;478.1;489.22
466.72;480.25;465.6;477.11
480.88;484.09;465.7;468.8
498.35;498.98;478.19;481.32
534.16;537.05;524.5;533.44
